source_row,purchase_date,portfolio,product_name,set_name,source_set_id,card_number,material,rarity,condition,quantity,price_per_unit,total_cost,owned_product_id,catalogue_card_id,canonical_behaviour_card_id,resolution_type,catalogue_name,supertype,types,stage,resolution_note
111,2026-07-16,My Portfolio,Youngster,Battle Academy 2024 (Armarouge),ba24a,198/198,,Uncommon,NM,3,£0.00,£0.00,card:ba24a|198/198|null|null|null|null,sv1-198,sv1-198,functional-reprint-alias,Youngster,Trainer,,Supporter,Battle Academy 2024 Youngster; canonical gameplay SVI 198
112,2026-07-16,My Portfolio,Magma Basin,Brilliant Stars,swsh9,144/172,,Uncommon,NM,4,£0.00,£0.00,card:swsh9|144/172|null|null|null|null,swsh9-144,swsh9-144,exact,Magma Basin,Trainer,,Stadium,
113,2026-07-16,My Portfolio,Klara,Chilling Reign,swsh6,145/198,,Uncommon,NM,2,£0.00,£0.00,card:swsh6|145/198|null|null|null|null,swsh6-145,swsh6-145,exact,Klara,Trainer,,Supporter,
114,2026-07-16,My Portfolio,Armarouge,Scarlet & Violet,sv1,041/198,Holo,Rare,NM,2,£0.00,£0.00,card:sv1|041/198|Holo|null|null|null,sv1-41,sv1-41,exact,Armarouge,Pokémon,Fire,Stage 1,
115,2026-07-16,My Portfolio,Radiant Tsareena,Silver Tempest,swsh12,016/195,,Radiant Rare,NM,1,£0.00,£0.00,card:swsh12|016/195|null|null|null|null,swsh12-16,swsh12-16,exact,Radiant Tsareena,Pokémon,Grass,Basic,
116,2026-07-16,My Portfolio,Skeledirge ex,Paldea Evolved,sv2,037/193,,Double Rare,NM,2,£0.00,£0.00,card:sv2|037/193|null|null|null|null,sv2-37,sv2-37,exact,Skeledirge ex,Pokémon,Fire,Stage 2,
117,2026-07-16,My Portfolio,Skeledirge ex,Scarlet & Violet Promos,svp,SVP034,,Promo,NM,1,£0.00,£0.00,card:svp|SVP034|null|null|null|null,svp-34,svp-34,exact,Skeledirge ex,Pokémon,Fire,Stage 2,
118,2026-07-16,My Portfolio,Smeargle,Silver Tempest,swsh12,137/195,,Common,NM,2,£0.00,£0.00,card:swsh12|137/195|null|null|null|null,swsh12-137,swsh12-137,exact,Smeargle,Pokémon,Colorless,Basic,
119,2026-07-16,My Portfolio,Crocalor,Scarlet & Violet,sv1,037/198,,Uncommon,NM,3,£0.00,£0.00,card:sv1|037/198|null|null|null|null,sv1-37,sv1-37,exact,Crocalor,Pokémon,Fire,Stage 1,
120,2026-07-16,My Portfolio,Fuecoco,Paldea Evolved,sv2,035/193,,Common,NM,4,£0.00,£0.00,card:sv2|035/193|null|null|null|null,sv2-35,sv2-35,exact,Fuecoco,Pokémon,Fire,Basic,
121,2026-07-16,My Portfolio,Charcadet,Paradox Rift,sv4,026/182,,Common,NM,1,£0.00,£0.00,card:sv4|026/182|null|null|null|null,sv4-26,sv4-26,exact,Charcadet,Pokémon,Fire,Basic,
122,2026-07-16,My Portfolio,Rare Candy,Crown Zenith,swsh12pt5,141/159,,Uncommon,NM,4,£0.00,£0.00,card:swsh12pt5|141/159|null|null|null|null,swsh12pt5-141,swsh12pt5-141,exact,Rare Candy,Trainer,,Item,
123,2026-07-16,My Portfolio,Growlithe,Scarlet & Violet,sv1,030/198,,Common,NM,1,£0.00,£0.00,card:sv1|030/198|null|null|null|null,sv1-30,sv1-30,exact,Growlithe,Pokémon,Fire,Basic,
124,2026-07-16,My Portfolio,Artazon,Paldea Evolved,sv2,171/193,,Uncommon,NM,1,£0.00,£0.00,card:sv2|171/193|null|null|null|null,sv2-171,sv2-171,exact,Artazon,Trainer,,Stadium,
125,2026-07-16,My Portfolio,Super Rod,Paldea Evolved,sv2,188/193,,Common,NM,1,£0.00,£0.00,card:sv2|188/193|null|null|null|null,sv2-188,sv2-188,exact,Super Rod,Trainer,,Item,
126,2026-07-16,My Portfolio,Arven,Obsidian Flames,sv3,186/197,,Uncommon,NM,2,£0.00,£0.00,card:sv3|186/197|null|null|null|null,sv3-186,sv3-186,exact,Arven,Trainer,,Supporter,
127,2026-07-16,My Portfolio,Counter Catcher,Paradox Rift,sv4,160/182,,Uncommon,NM,1,£0.00,£0.00,card:sv4|160/182|null|null|null|null,sv4-160,sv4-160,exact,Counter Catcher,Trainer,,Item,
128,2026-07-16,My Portfolio,Earthen Vessel,Paradox Rift,sv4,163/182,,Uncommon,NM,2,£0.00,£0.00,card:sv4|163/182|null|null|null|null,sv4-163,sv4-163,exact,Earthen Vessel,Trainer,,Item,
129,2026-07-16,My Portfolio,Technical Machine: Devolution,Paradox Rift,sv4,177/182,,Uncommon,NM,1,£0.00,£0.00,card:sv4|177/182|null|null|null|null,sv4-177,sv4-177,exact,Technical Machine: Devolution,Trainer,,Pokémon Tool,
130,2026-07-16,My Portfolio,Technical Machine: Evolution,Paradox Rift,sv4,178/182,,Uncommon,NM,1,£0.00,£0.00,card:sv4|178/182|null|null|null|null,sv4-178,sv4-178,exact,Technical Machine: Evolution,Trainer,,Pokémon Tool,
131,2026-07-16,My Portfolio,Defiance Band,Scarlet & Violet,sv1,169/198,,Uncommon,NM,1,£0.00,£0.00,card:sv1|169/198|null|null|null|null,sv1-169,sv1-169,exact,Defiance Band,Trainer,,Pokémon Tool,
132,2026-07-16,My Portfolio,Muk,Scarlet & Violet,sv1,127/198,,Uncommon,NM,1,£0.00,£0.00,card:sv1|127/198|null|null|null|null,sv1-127,sv1-127,exact,Muk,Pokémon,Darkness,Stage 1,
133,2026-07-16,My Portfolio,Energy Retrieval,Crown Zenith,swsh12pt5,127/159,,Common,NM,3,£0.00,£0.00,card:swsh12pt5|127/159|null|null|null|null,swsh12pt5-127,swsh12pt5-127,exact,Energy Retrieval,Trainer,,Item,
134,2026-07-16,My Portfolio,Switch,Battle Academy 2022 (Cinderace),ba22c,183/202,,Uncommon,NM,2,£0.00,£0.00,card:ba22c|183/202|null|null|null|null,swsh1-183,swsh1-183,functional-reprint-alias,Switch,Trainer,,Item,Battle Academy 2022 Switch; canonical gameplay SSH 183
135,2026-07-16,My Portfolio,Mimikyu,Paldean Fates,sv4pt5,037/091,Holo,Rare,NM,1,£0.00,£0.00,card:sv4pt5|037/091|Holo|null|null|null,sv4pt5-37,sv4pt5-37,exact,Mimikyu,Pokémon,Psychic,Basic,
136,2026-07-16,My Portfolio,Iono,Paldean Fates,sv4pt5,080/091,,Uncommon,NM,1,£0.00,£0.00,card:sv4pt5|080/091|null|null|null|null,sv4pt5-80,sv4pt5-80,exact,Iono,Trainer,,Supporter,
137,2026-07-16,My Portfolio,Rescue Board,Temporal Forces,sv5,159/162,,Uncommon,NM,1,£0.00,£0.00,card:sv5|159/162|null|null|null|null,sv5-159,sv5-159,exact,Rescue Board,Trainer,,Pokémon Tool,
138,2026-07-16,My Portfolio,Night Stretcher,Mega Evolution,m1,173/132,Holo,Ultra Rare,NM,1,£0.00,£0.00,card:m1|173/132|Holo|null|null|null,me1-173,me1-173,set-id-alias,Night Stretcher,Trainer,,Item,Portfolio set ID m1 normalised to me1
139,2026-07-16,My Portfolio,Buddy-Buddy Poffin,Temporal Forces,sv5,144/162,,Uncommon,NM,4,£0.00,£0.00,card:sv5|144/162|null|null|null|null,sv5-144,sv5-144,exact,Buddy-Buddy Poffin,Trainer,,Item,
140,2026-07-16,My Portfolio,Arcanine,Destined Rivals,sv10,028/182,,Uncommon,NM,2,£0.00,£0.00,card:sv10|028/182|null|null|null|null,sv10-28,sv10-28,exact,Arcanine,Pokémon,Fire,Stage 1,
141,2026-07-16,My Portfolio,Boss's Orders,Ascended Heroes,me2pt5,183/217,,Uncommon,NM,1,£0.00,£0.00,card:me2pt5|183/217|null|null|null|null,me2pt5-183,me2pt5-183,exact,Boss's Orders,Trainer,,Supporter,
142,2026-07-18,My Portfolio,Team Rocket's Nidoking ex,Destined Rivals,sv10,119/182,Holo,Double Rare,NM,3,£0.00,£0.00,card:sv10|119/182|Holo|null|null|null,sv10-119,sv10-119,exact,Team Rocket's Nidoking ex,Pokémon,Darkness,Stage 2,
143,2026-07-18,My Portfolio,Nest Ball,Battle Academy 2024 (Armarouge),ba24a,181/198,,Uncommon,NM,3,£0.00,£0.00,card:ba24a|181/198|null|null|null|null,sv1-181,sv1-181,functional-reprint-alias,Nest Ball,Trainer,,Item,Battle Academy 2024 Nest Ball; canonical gameplay SVI 181
144,2026-07-18,My Portfolio,Munkidori,Play! Pokémon Prize Pack Series Six,pp6,095/167,Non-holo,Rare,NM,1,£0.00,£0.00,card:pp6|095/167|Non-holo|Play! Pokémon Prize Pack|null|null,sv6-95,sv6-95,functional-reprint-alias,Munkidori,Pokémon,Psychic,Basic,Prize Pack Munkidori; canonical gameplay TWM 95
145,2026-07-18,My Portfolio,Munkidori,Twilight Masquerade,sv6,095/167,Holo,Rare,NM,1,£0.00,£0.00,card:sv6|095/167|Holo|null|null|null,sv6-95,sv6-95,exact,Munkidori,Pokémon,Psychic,Basic,
146,2026-07-18,My Portfolio,Team Rocket's Energy,Destined Rivals,sv10,182/182,,Uncommon,NM,4,£0.00,£0.00,card:sv10|182/182|null|null|null|null,sv10-182,sv10-182,exact,Team Rocket's Energy,Energy,,Special,
147,2026-07-18,My Portfolio,Night Stretcher,Play! Pokémon Prize Pack Series Six,pp6,061/064,Non-holo,Uncommon,NM,2,£0.00,£0.00,card:pp6|061/064|Non-holo|Play! Pokémon Prize Pack|null|null,sv6pt5-61,sv6pt5-61,functional-reprint-alias,Night Stretcher,Trainer,,Item,Prize Pack Night Stretcher; canonical gameplay SFA 61
148,2026-07-18,My Portfolio,Team Rocket's Spidops,Destined Rivals,sv10,020/182,Non-holo,Rare,NM,2,£0.00,£0.00,card:sv10|020/182|Non-holo|null|null|null,sv10-20,sv10-20,exact,Team Rocket's Spidops,Pokémon,Grass,Stage 1,
149,2026-07-18,My Portfolio,Earthen Vessel,Play! Pokémon Prize Pack Series Five,pp5,163/182,Non-holo,Uncommon,NM,2,£0.00,£0.00,card:pp5|163/182|Non-holo|Play! Pokémon Prize Pack|null|null,sv4-163,sv4-163,functional-reprint-alias,Earthen Vessel,Trainer,,Item,Prize Pack Earthen Vessel; canonical gameplay PAR 163
150,2026-07-18,My Portfolio,Buddy-Buddy Poffin,Temporal Forces,sv5,144/162,,Uncommon,NM,2,£0.00,£0.00,card:sv5|144/162|null|null|null|null,sv5-144,sv5-144,exact,Buddy-Buddy Poffin,Trainer,,Item,
151,2026-07-18,My Portfolio,Team Rocket's Petrel,Ascended Heroes,me2pt5,207/217,,Uncommon,NM,2,£0.00,£0.00,card:me2pt5|207/217|null|null|null|null,me2pt5-207,me2pt5-207,exact,Team Rocket's Petrel,Trainer,,Supporter,
152,2026-07-18,My Portfolio,Team Rocket's Giovanni,Ascended Heroes,me2pt5,204/217,,Uncommon,NM,2,£0.00,£0.00,card:me2pt5|204/217|null|null|null|null,me2pt5-204,me2pt5-204,exact,Team Rocket's Giovanni,Trainer,,Supporter,
153,2026-07-18,My Portfolio,Team Rocket's Archer,Ascended Heroes,me2pt5,201/217,,Uncommon,NM,1,£0.00,£0.00,card:me2pt5|201/217|null|null|null|null,me2pt5-201,me2pt5-201,exact,Team Rocket's Archer,Trainer,,Supporter,
154,2026-07-18,My Portfolio,Team Rocket's Nidorino,Destined Rivals,sv10,118/182,,Common,NM,2,£0.00,£0.00,card:sv10|118/182|null|null|null|null,sv10-118,sv10-118,exact,Team Rocket's Nidorino,Pokémon,Darkness,Stage 1,
155,2026-07-18,My Portfolio,Team Rocket's Spidops,Ascended Heroes,me2pt5,019/217,Holo,Rare,NM,1,£0.00,£0.00,card:me2pt5|019/217|Holo|null|null|null,me2pt5-19,me2pt5-19,exact,Team Rocket's Spidops,Pokémon,Grass,Stage 1,
156,2026-07-18,My Portfolio,Team Rocket's Nidoran ♂,Destined Rivals,sv10,117/182,,Common,NM,4,£0.00,£0.00,card:sv10|117/182|null|null|null|null,sv10-117,sv10-117,exact,Team Rocket's Nidoran♂,Pokémon,Darkness,Basic,
157,2026-07-18,My Portfolio,Team Rocket's Wobbuffet,Destined Rivals,sv10,082/182,Holo,Rare,NM,1,£0.00,£0.00,card:sv10|082/182|Holo|null|null|null,sv10-82,sv10-82,exact,Team Rocket's Wobbuffet,Pokémon,Psychic,Basic,
158,2026-07-18,My Portfolio,Team Rocket's Nidoking ex,Destined Rivals,sv10,119/182,Holo,Double Rare,NM,1,£0.00,£0.00,card:sv10|119/182|Holo|null|null|null,sv10-119,sv10-119,exact,Team Rocket's Nidoking ex,Pokémon,Darkness,Stage 2,
159,2026-07-16,My Portfolio,Team Rocket's Ariana,Destined Rivals,sv10,171/182,,Uncommon,NM,1,£0.00,£0.00,card:sv10|171/182|null|null|null|null,sv10-171,sv10-171,exact,Team Rocket's Ariana,Trainer,,Supporter,
160,2026-07-23,My Portfolio,Electrike,Pitch Black,me05,023/084,Reverse Holo,Common,NM,1,£0.00,£0.00,card:me05|023/084|Reverse Holo|null|null|null,me5-23,me5-23,set-id-alias,Electrike,Pokémon,Lightning,Basic,Portfolio set ID me05 normalised to me5
161,2026-07-23,My Portfolio,Dark Bell,Pitch Black,me05,075/084,,Uncommon,NM,1,£0.00,£0.00,card:me05|075/084|null|null|null|null,me5-75,me5-75,set-id-alias,Dark Bell,Trainer,,Item,Portfolio set ID me05 normalised to me5
162,2026-07-23,My Portfolio,Tremendous Bomb,Pitch Black,me05,082/084,Reverse Holo,Uncommon,NM,1,£0.00,£0.00,card:me05|082/084|Reverse Holo|null|null|null,me5-82,me5-82,set-id-alias,Tremendous Bomb,Trainer,,Pokémon Tool,Portfolio set ID me05 normalised to me5
163,2026-07-23,My Portfolio,Toucannon,Pitch Black,me05,068/084,,Uncommon,NM,1,£0.00,£0.00,card:me05|068/084|null|null|null|null,me5-68,me5-68,set-id-alias,Toucannon,Pokémon,Colorless,Stage 2,Portfolio set ID me05 normalised to me5
164,2026-07-23,My Portfolio,Bombirdier,Pitch Black,me05,071/084,,Common,NM,1,£0.00,£0.00,card:me05|071/084|null|null|null|null,me5-71,me5-71,set-id-alias,Bombirdier,Pokémon,Colorless,Basic,Portfolio set ID me05 normalised to me5
165,2026-07-23,My Portfolio,Wailmer,Pitch Black,me05,015/084,,Common,NM,1,£0.00,£0.00,card:me05|015/084|null|null|null|null,me5-15,me5-15,set-id-alias,Wailmer,Pokémon,Water,Basic,Portfolio set ID me05 normalised to me5
166,2026-07-23,My Portfolio,Inkay,Pitch Black,me05,051/084,,Common,NM,1,£0.00,£0.00,card:me05|051/084|null|null|null|null,me5-51,me5-51,set-id-alias,Inkay,Pokémon,Darkness,Basic,Portfolio set ID me05 normalised to me5
167,2026-07-23,My Portfolio,Jynx,Pitch Black,me05,032/084,,Common,NM,1,£0.00,£0.00,card:me05|032/084|null|null|null|null,me5-32,me5-32,set-id-alias,Jynx,Pokémon,Psychic,Basic,Portfolio set ID me05 normalised to me5
168,2026-07-23,My Portfolio,Heatran,Pitch Black,me05,007/084,,Uncommon,NM,1,£0.00,£0.00,card:me05|007/084|null|null|null|null,me5-7,me5-7,set-id-alias,Heatran,Pokémon,Fire,Basic,Portfolio set ID me05 normalised to me5
169,2026-07-23,My Portfolio,Mega Zeraora ex,Pitch Black,me05,027/084,Holo,Double Rare,NM,1,£0.00,£0.00,card:me05|027/084|Holo|null|null|null,me5-27,me5-27,set-id-alias,Mega Zeraora ex,Pokémon,Lightning,Basic,Portfolio set ID me05 normalised to me5
170,2026-07-23,My Portfolio,Pecharunt,Scarlet & Violet Promos,svp,SVP129,,Promo,NM,1,£0.00,£0.00,card:svp|SVP129|null|null|null|null,svp-129,svp-129,exact,Pecharunt,Pokémon,Darkness,Basic,
